-like	sؤپn<br><br>
tomography	tomoة،erؤپfi<br><br>
tomorrow	fardؤپ<br><br>
tomorrow morning	fardؤپ sobh<br><br>
tomorrow night	fardؤپ إ،ab<br><br>
ton	ton<br><br>
tonality	ؤپhang; tunؤپlite<br><br>
tone	ؤپhang; ؤپhanة،; dؤپnة،; dؤپnة،i; lahn; navؤپ; sedؤپ<br><br>
tong	anbar; anbor<br><br>
tongue	ة،oftan; إ،ؤپhin-e tarؤپzu; zabؤپn; zabؤپne<br><br>
tongueless	bizabؤپn<br><br>
tonic	moqavvi; nirubaxإ،; sowti<br><br>
tonight	emإ،ab; emإ،abi<br><br>
tonsil	lowze<br><br>
tonsillitis	eltehؤپb-e lowze<br><br>
tonsorial	dallؤپk<br><br>
tonus	tuإ،<br><br>
too	docandؤپn; ham; hamcenin; hamconin; niz; ziyؤپd<br><br>
too much	biإ، az andؤپze<br><br>
tool	abzؤپr; afzؤپr; sؤپz; إ،ekl dؤپdan<br><br>
toolbox	ja'baabzؤپr<br><br>
tooling	إ،ekldehi; tajhiz<br><br>
tools	abzؤپrؤپlؤپt<br><br>
toon	derؤپz<br><br>
tooth	dandؤپn; dandؤپne<br><br>
toothache	dandؤپndard<br><br>
toothbrush	mesvؤپk<br><br>
toothily	harisؤپne<br><br>
toothpaste	xamirdandؤپn<br><br>
toothpick	xalؤپldandؤپn<br><br>
top	ؤپli; bؤپlؤپ; bؤپlؤپ(-ye); farq; nok; owj; raâ€کs-e; raâ€™s; ra's; ra's (rous); ru; ru(y); rupuإ،<br><br>
top milk	sarإ،ir<br><br>
top of the milk	sarإ،ir<br><br>
top-full	mؤپlؤپmؤپl<br><br>
topcoat	pؤپltow; rupuإ،<br><br>
topic	mabhas; mowzu'; mowzu' (mowzuؤپt); mowzuâ€™; sarfasl<br><br>
topless	bientehؤپ<br><br>
topmost	a'lؤپ<br><br>
topographer	naqإ،ebardؤپr<br><br>
topography	naqإ،ebardؤپri<br><br>
topper	dؤپemolxamr<br><br>
topping	kؤپkol; torre-ye gisu<br><br>
topple	az sar oftؤپdan; bar gaإ،tan; vؤپإ¾gun kardan; vؤپإ¾gun إ،odan<br><br>
toppled	sarnegun<br><br>
topsides	qesmat-e bؤپlؤپ<br><br>
Torah	Towrؤپt<br><br>
torch	cerؤپqqovve; fؤپnus; maإ،'al<br><br>
tore	canbar; ة،acbori<br><br>
torment	azؤپb; azؤپb dؤپdan; ؤپzؤپr; إ،ekanje; zahmat (zahamؤپt); zajr; zajr dؤپdan<br><br>
torn	cؤپk-cؤپk<br><br>
tornado	gerdbؤپd; ة،erdbؤپd; gerdbؤپd-e إ،adid; tufؤپn; tufؤپn-e picande<br><br>
torpid	xؤپbide<br><br>
torpidity	kerexti<br><br>
torque	towq; towqe<br><br>
torre	tare<br><br>
torrent	seyl<br><br>
torrential	seylؤپbi; seylؤپsؤپ<br><br>
torrid	hؤپrre; mohtareq<br><br>
torridity	dؤپqi<br><br>
torsion	enqebؤپz; piceإ،; picxordegi; picxordeة،i<br><br>
tort	zarar<br><br>
tortoise	lؤپkpoإ،t<br><br>
tortuosity	picoxam<br><br>
torture	ؤپzؤپr resؤپndan; إ،ekanje; إ،ekanj-e dؤپdan; إ،ekanje kardan; zajr; zajr dؤپdan<br><br>
torturer	إ،ekanjeة،ar<br><br>
torturous	zajrؤپvar<br><br>
torus	mؤپhice; tabaq<br><br>
toryism	mohؤپfezekؤپri<br><br>
tosh	bima'ni; harf-e moft<br><br>
toss	andؤپxtan; bؤپlؤپ andؤپxtan; part kardan; partؤپb; talؤپtom<br><br>
tot	jam'; jamâ€™ kardan<br><br>
total	hؤپselejamâ€™; jam'; jamâ€™ kardan; jamâ€™-e kol; jam'-e koll; jomle; kؤپmel; kol; kol(l); kolli; majmu'; motlaq; tؤپmm; te'dؤپd<br><br>
total sum	jam'-e koll<br><br>
totalitarian	tamؤپmiyatxؤپh; tamؤپmiyatxؤپhؤپne<br><br>
totalitarianism	tamؤپmiyatxؤپhi<br><br>
totality	kolli; kolliyat; tamؤپmiyat<br><br>
totalize	jam' zadan; jamâ€™ zadan; kؤپmel kardan<br><br>
totally	bekolli; jamâ€™an; jam'an; kؤپmelan; kollan; ruyeham<br><br>
totally confused	qؤپti-pؤپti<br><br>
totals	sarjam'<br><br>
tote	hamlonaql kardan<br><br>
totter	tardid kardan<br><br>
touch	dast zadan; ehsؤپs bؤپ dast; hess-e lؤپmese; lams; lams kardan; moteasser kardan; moteasser إ،odan; parmؤپs; residan; zadan<br><br>
touchy	delnؤپzok; nؤپzoknؤپrenji<br><br>
tough	bؤپdavؤپm; doإ،vؤپr; jؤپnsaxt; إ،aqq; sarsaxt; saxt; saxtة،iri<br><br>
tough guy	sarsaxt<br><br>
toughen	seft إ،odan<br><br>
toupee	kolؤپhgis-e mardؤپne<br><br>
tour	gardeإ،; gaإ،t; ة،aإ،t; mosؤپferat; safar; siyؤپhat; siyؤپhat kardan; siyؤپhati; tur<br><br>
tour guide	mas'ul-e tur; rؤپhnamؤپ-ye tur<br><br>
tourbillon	ة،erdؤپb<br><br>
tourism	gardeإ،gari; jahؤپngardi; jahؤپnة،ardi; turism<br><br>
tourism camp	ordugؤپh-e gardeإ،gari<br><br>
tourism office	daftar-e xadamؤپt-e jahؤپngardi<br><br>
tourist	gardeإ،gar; ة،ardeإ،ة،ari; jahؤپngard; jahؤپnة،ard; sayyؤپh; turist; turisti<br><br>
tourist attraction	ة،ardeإ،ة،arpazir<br><br>
tourist camp	ordugؤپh-e turisti<br><br>
tourist guide	rؤپhnamؤپ-ye jahؤپngardؤپn<br><br>
tourist visa	ravؤپdid-e turisti<br><br>
tourist visas	vizؤپ-ye turisti<br><br>
touristic	turisti<br><br>
tourists	ة،ardeإ،ة،ar; siyؤپhatة،ar<br><br>
tournament	mosؤپbeqؤپt-e qahremؤپni; mosؤپbeqe<br><br>
tourney	mosؤپbeqe dؤپdan<br><br>
tousle	coruk إ،odan<br><br>
tow	boksol kardan; xerkeإ، kardan; yadak keإ،idan; yadakkeإ،<br><br>
tow rope	simboksol<br><br>
toward	be su-ye; be taraf-e; moqؤپren(-e); nesbat be<br><br>
towards	su; taraf<br><br>
towards the sunset	taraf-e qorub<br><br>
towel	dastmؤپlkؤپqazi; howle; howle-ye hammؤپm<br><br>
tower	borj; dakal<br><br>
tower of silence	daxme<br><br>
towing	boksel; boksol<br><br>
town	إ،ahr; إ،ahrak; إ،ahri<br><br>
town constraction	إ،ahraksؤپzi<br><br>
townhouse	otؤپq<br><br>
township	إ،ahrestؤپn<br><br>
townsman	إ،ahri<br><br>
townspeople	إ،ahri<br><br>
toxic	masmumiyatzؤپ; sammi; zahrؤپة،in<br><br>
toxicant	masmum; masmumkonande; sam; zahr<br><br>
toxication	masmumiyat<br><br>
toxins	somum<br><br>
toxophilite	kamؤپndؤپr<br><br>
toy	asbؤپbbؤپzi; bؤپzi kardan; bؤپzice<br><br>
trace	asar; asar (ؤپsؤپr, asarؤپt); donbؤپl kardan; neإ،ؤپn; rad(d); radd; raddepؤپ; rasm kardan; zabt kardan<br><br>
traceless	biasar; bineإ،ؤپn<br><br>
tracer	radyؤپb<br><br>
trachea	nؤپy<br><br>
tracing	radyؤپbi; tarsim<br><br>
track	donbؤپl kardan; masir; pey; peygardi kardan; peygiri kardan; raddepؤپ; إ،iyؤپr; taht-e ta'qib qarؤپr dؤپdan; ta'qib kardan; tavؤپli; xatt; xatteؤپhan<br><br>
tracker	peygir; peyة،irikonande<br><br>
tracking	peygardi; peygiri; radة،iri; rahة،iri; ta'qib<br><br>
trackless	biasar; birؤپhe<br><br>
tracksuit	lebؤپs-e varzeإ،i<br><br>
tract	andؤپze; asar; hadd; keإ،eإ،; maqؤپle; moddat; naإ،riye; qet'e; resؤپle; reإ،te; vos'at<br><br>
tractable	sarberؤپh; sarbezir<br><br>
traction	enqebؤپz; keإ،eإ،<br><br>
tractor	bؤپrkeإ،; terؤپktor<br><br>
trade	ؤپmadoraft; ؤپzؤپr; bؤپzargؤپni; bؤپzarة،ؤپni; dؤپdosetad; dؤپdosetad kardan; kasb; kؤپsebi; moؤپmeleâ€Œ kardan; mobؤپdele kardan; safar; sowdؤپ; sowdؤپة،ari; tejؤپrat; tejؤپrat kardan; xaridoforuإ، kardan<br><br>
trade agreement	qarؤپrdؤپd-e tejؤپri<br><br>
trade convention	tavؤپfoqnؤپme-ye bؤپzargؤپni<br><br>
trade in	mobؤپdele<br><br>
trade union	ettehؤپdiye-ye senfi<br><br>
trader	bؤپzargؤپn; bؤپzarة،ؤپn; sowdؤپة،ar; tؤپjer (tojjؤپr)<br><br>
tradesman	dokkؤپndؤپr; kؤپseb; kؤپseb (kasabe); piإ،evar<br><br>
tradespeople	kasabe<br><br>
trading	ؤپإ،nؤپyi; dؤپdosetad; tejؤپrat<br><br>
tradition	ؤپdat; marsum; rasm; rasm (marؤپsem); sonnat<br><br>
traditional	marsum; naqli; sonnatة،erؤپ; sonnati<br><br>
traditional music	musiqi-ye sonnati<br><br>
traditionalism	sonnatة،erؤپyi<br><br>
traditionally	be towr-e sonnati<br><br>
traditionary	revؤپyati<br><br>
traditions	sonan<br><br>
traducer	tohmatzan<br><br>
traffic	ؤپmadoإ،od; oburomorur; raftoؤپmad; rؤپhbandؤپn; taraddod; taraddod kardan; terؤپfik<br><br>
traffic accident	sؤپnehe-ye rؤپnandegi<br><br>
traffic jam	rؤپhbandؤپn<br><br>
traffic lights	cerؤپq-e rؤپhnamؤپyi<br><br>
traffic offense	taxallof-e rؤپnandegi<br><br>
traffic police	polis-e rؤپhnamؤپyi<br><br>
traffic rules	moqarrarؤپt-e rؤپnandegi<br><br>
trafficker	dasise; kؤپseb<br><br>
tragedy	mosibat; terؤپإ¾edi<br><br>
tragic	faji'; mosibatbؤپr; terؤپإ¾ik<br><br>
trail	be donbؤپl harekat kardan; be donbؤپl keإ،idan; donbؤپle; donbؤپleâ€Œ dؤپإ،tan; donbؤپledؤپr budan; tofeyli budan<br><br>
trailblazer	piإ،ة،ؤپmi<br><br>
trailer	otomobil-e yadakkeإ،; piإ،parde; poإ،tband; poإ،ti; raddepؤپgir; tereyler; yadak<br><br>
trailers	tereyler<br><br>
train	ؤپzؤپr; donbؤپle; ezؤپr; farhixtan; farib-e eqfؤپl; maإ،q kardan; nazm; neإ،ؤپneâ€Œ raftan; parvardan; qatؤپr; reإ،te; selsele; taâ€™lim dؤپdan; tale; ta'lim dؤپdan; tamrin kardan; tarbiyat kardan; tartib; teran; varzeإ، kardan; varzidan<br><br>
train conductor	bؤپzres-e qatؤپr; ma'mur-e qatؤپr<br><br>
train inspector	bؤپzres-e qatؤپr<br><br>
train journey	safar bؤپ qatؤپr<br><br>
trained	ؤپmuzeإ،dide; tarbiyatإ،ode<br><br>
trainee	kؤپrؤپmuz; kؤپrvarz<br><br>
trainees	honarؤپmuz<br><br>
trainer	morabbi; tarbiyatkonande<br><br>
training	ؤپmuzeإ،; dowre-ye kؤپrؤپmuzi; herfeؤپmuzi; kؤپrؤپmuzi; maإ،q; parvareإ،; taؤپlim; tadris; tahsil; ta'lim; ta'lim (taؤپlim, ta'limؤپt); ta'limؤپt; tamrin; tamrini<br><br>
training college	dؤپneإ،sarؤپ<br><br>
traipse	sargardؤپn budan<br><br>
trait	janbe; neإ،ؤپn-e extesؤپsi; neإ،ؤپn-e viإ¾e; viإ¾eة،i; xasise; xؤپsiyat<br><br>
traitor	peymؤپnإ،ekan; xؤپen; xiyؤپnatkؤپr<br><br>
traitorously	xؤپenؤپne<br><br>
traitors	xؤپenin<br><br>
trajectory	xatteseyr<br><br>
tram	terؤپmvؤپ; vؤپgon-e barqi<br><br>
tram station	istgؤپh-e terؤپmvؤپ<br><br>
tramp	avؤپre; ؤپvؤپreة،i; sedؤپ-ye pؤپ; velة،ard; velة،ardi<br><br>
trample	feإ،ؤپr dؤپdan; laة،ad; lagadmؤپl kardan; pؤپymؤپl kardan<br><br>
trampling	laة،admؤپl; laة،admؤپli<br><br>
trams	terؤپmvؤپ<br><br>
trance	azxodbixodi; bؤپ cؤپlؤپki harekat kardan; bihuإ،i; bixodi; mashur إ،odan; naإ،'e<br><br>
tranhkhvan	tarؤپnexؤپn<br><br>
tranquil	ؤپrؤپm; ؤپsude; xؤپterjamâ€™<br><br>
tranquility	ؤپrؤپmeإ،; ؤپsudegi; ؤپsudeة،i; enbesؤپt-e xؤپter; rؤپhat<br><br>
tranquilize	foru neإ،ؤپndan<br><br>
tranquillity	rؤپhat<br><br>
trans	terؤپns<br><br>
transact	dؤپdosetad kardan; moؤپmeleâ€Œ kardan<br><br>
transaction	moؤپmele; moؤپmele (moؤپmelؤپt)<br><br>
transactor	moؤپmeleة،ar<br><br>
transcendent	mؤپfowq<br><br>
transcribe	naql kardan; runevisi kardan<br><br>
transcriber	runevis<br><br>
transcript	runeveإ،t<br><br>
transcriptase	nosxebardؤپr<br><br>
transcription	ؤپvؤپnevisi; runeveإ،t; runevisi; tarؤپnevisi<br><br>
transducer	terؤپnsformؤپtor<br><br>
transfer	enteqؤپl; enteqؤپl dؤپdan; enteqؤپli; havؤپle; havؤپle kardan; montaqel kardan; naql; sanad-e enteqؤپl; tahvil; vؤپgozؤپr kardan; vؤپة،ozؤپri; vؤپriz; vؤپriz kardan<br><br>
transference	havؤپle; naql; tahvil<br><br>
transferor	dehande; enteqؤپldehande<br><br>
transferred	enteqؤپlyؤپfte; montaqel; vؤپة،ozؤپrإ،ode<br><br>
transfers	naqloenteqؤپl<br><br>
transfigure	taqyir-e إ،ekl dؤپdan; taqyir-e إ،ekl yؤپftan<br><br>
transform	degargun kardan; nasx kardan; tabdil kardan; tabdil kardan (kon); taqyir-e إ،ekl dؤپdan; taqyir-e إ،ekl yؤپftan; tarؤپ disidan; tarؤپdisi<br><br>
transformation	degarguni; deة،arة،uni; deة،arsؤپzi; tabdil; tarؤپdisi<br><br>
transformer	tabdilkonande; taqyirdehande; terؤپnsformؤپtor<br><br>
transfusion	rosux; tazriq<br><br>
transgress	tajؤپvoz kardan az<br><br>
transgression	sarpici; tajؤپvoz; xatؤپ<br><br>
transgressive	motejؤپvez; xatؤپkؤپr; xؤپti<br><br>
transgressor	motejؤپvez; xatؤپkؤپr<br><br>
transience	kutؤپhi; nؤپpؤپydؤپri<br><br>
transient	gozarؤپ; ة،ozarؤپ; zudgozar; zudة،ozar<br><br>
transit	gozar; ة،ozar; obur; obur kardan; terؤپnzit<br><br>
transit Hall	sؤپlon-e terؤپnzit<br><br>
transit visa	ravؤپdid-e obur<br><br>
transition	barzax; enteqؤپl; gozؤپr; ة،ozؤپr; tahavvol<br><br>
transitive	enteqؤپli<br><br>
translate	bar gardؤپndan; bargardؤپndan; bargardؤپndan (gardؤپn); maâ€™ni kardan; tafsir kardan; tarjome kardan<br><br>
translated	tarjomeإ،ode<br><br>
translation	bargardؤپn; barة،ardؤپn; tarjome<br><br>
translative	enteqؤپli; esteؤپri<br><br>
translator	dilmؤپj; motarjem; motarjem (motarjemin); tarjomؤپn<br><br>
translocate	jؤپbejؤپ kardan<br><br>
transmission	enteqؤپl; girboks; ة،irboks; moxؤپbere; obur; serؤپyat; soxanparؤپkani<br><br>
transmissive	enteqؤپldehande; enteqؤپlyؤپfte<br><br>
transmit	enteqؤپl dؤپdan; parؤپkandan; resؤپndan; resؤپndan (resؤپn); serؤپyat kardan<br><br>
transmitted diseases	amrؤپz-e moqؤپrebati<br><br>
transmitter	enteqؤپldehande; ferestande<br><br>
transmitting station	istgؤپh-e ferestande<br><br>
transmogrify	nasx kardan; taqyir-e إ،ekl dؤپdan<br><br>
transmute	tabdil kardan<br><br>
Transoxiana	Mؤپvarؤپonnahr<br><br>
transparence	إ،affؤپfiyat<br><br>
transparent	farؤپnamؤپ; peydؤپ; إ،affؤپf; إ،affؤپfi<br><br>
transpierce	rosux kardan<br><br>
transpiration	efإ،ؤپ; naإ،r<br><br>
transpire	naإ،r kardan; nofuz kardan; rexne kardan<br><br>
transplant	peyvand; peyvand zadan<br><br>
transplantation	jؤپbejؤپsؤپzi<br><br>
transport	az xod bixod إ،odan; hؤپmel; haml; haml kardan; hamlonaql; naql; tarؤپbari<br><br>
transportation	ؤپmadoraft; ayؤپbozahؤپb; bؤپrkeإ،i; enteqؤپl; hamlonaql; naql; tarؤپbari<br><br>
transporter	enteqؤپldehande<br><br>
transporters	naqqؤپle<br><br>
transposed	pasopiإ،<br><br>
transudation	rosux; tarؤپvoإ،<br><br>
transverse	moteqؤپte'<br><br>
trap	be dؤپm andؤپxtan; dؤپm; ة،ir; tale<br><br>
trapeze	zuzanaqe<br><br>
trapezius	zuzanaqe<br><br>
trapezoid	zuzanaqe<br><br>
trapped	mahbus<br><br>
trash	eإ،qؤپl; mahmel; noxؤپle; satl-e ؤپإ،qؤپl; satl-e zobؤپle; xؤپkrube<br><br>
trash bags	kise-ye zobؤپle<br><br>
trashy	biarzeإ،; mozaxraf<br><br>
trauma	ؤپsib; zaxm; zoqte<br><br>
traumatic	ؤپsibzؤپ; zaxmi<br><br>
travail	dard-e zؤپyemؤپn; maإ،eqqat; ranj bordan<br><br>
travel	be mosؤپferat raftan; harekat; jahؤپnة،ardi; mosؤپferat; mosؤپferat kardan; mosؤپferat kardan (kon); mosؤپferat raftan; mosؤپferati; peymudan; rahsepؤپr إ،odan; rahsepؤپri; safar; safar kardan; seyr; siyؤپhat; siyؤپhat kardan<br><br>
travel agency	ؤپإ¾ؤپns-e mosؤپferati<br><br>
travel bus	otobus-e mosؤپferati<br><br>
travel by car	bؤپ otomobil raftan<br><br>
travel by hitch	otoestؤپp zadan<br><br>
travel by train	bؤپ qatؤپr raftan<br><br>
travel far to	navardidan<br><br>
travel guide	rؤپhnamؤپ-ye safar<br><br>
travel nerves	hayejؤپn-e safar<br><br>
travel tour	tur-e mosؤپferati<br><br>
traveler	mosؤپfer; sؤپyer; sayyؤپh; sayyؤپr<br><br>
traveler's check	cek-e mosؤپferati; cekpul<br><br>
traveller	sؤپyer<br><br>
traverse	obur kardan; peymudan; qatâ€™ kardan; tey kardan<br><br>
tray	sini; tabaq<br><br>
trea	lezzatbaxإ،<br><br>
treacherous	xiyؤپnatkؤپrؤپne<br><br>
treacherously	xؤپenؤپne<br><br>
treachery	bivafؤپyi; nؤپrow<br><br>
treacle	nuإ،<br><br>
tread	gؤپmbar dؤپri; lagad kardan; pؤپ gozؤپإ،tan; rؤپh raftan<br><br>
treason	peymؤپnإ،ekani; xiyؤپnat<br><br>
treasure	ganj; ة،anj; ganjine; ة،anjine; gerؤپmi dؤپإ،tan; javؤپher; xazine<br><br>
treasure trove	ة،anj<br><br>
treasurer	sandoqaqab; sandoqdؤپr; xazؤپnedؤپr; xؤپzen<br><br>
treasury	ة،anj; ة،anjine; vezؤپrat-e dؤپrؤپyi; xazؤپne; xazؤپnedؤپri; xazؤپyen<br><br>
treat	bahs kardan; darmؤپn kardan; darmؤپn إ،odan; marbut budan; mehmؤپn kardan; moؤپleje kardan; mowred-e amal qarؤپr dؤپdan; raftؤپr kardan; sؤپlem kardan; talaqqi kardan<br><br>
treatise	resؤپle<br><br>
treatment	darmؤپn; moؤپleje; moؤپmele; raftؤپr; talaqqi; timؤپr<br><br>
treaty	ahd; ahdnؤپme; moؤپhede; peymؤپn; peymؤپnnؤپme; qarؤپrdؤپd<br><br>
treble	sedؤپ-ye zir<br><br>
trebly	seة،ؤپne; selؤپ<br><br>
tree	deraxt<br><br>
tree root	riإ،e-ye deraxt<br><br>
tree trunk	tane-ye deraxt<br><br>
trek	rؤپhnavardi; safar<br><br>
trekker	rؤپhnavard<br><br>
trellis	dؤپrbast<br><br>
tremble	erteؤپإ،; larz; larzؤپndan; larze; larzeإ، dؤپإ،tan; larzidan; larzidan (larz); mortaeإ، sؤپxtan; mortaeإ، إ،odan; ra'إ،e; tarsؤپndan<br><br>
trembling	larzؤپn; tarsolarz<br><br>
tremendous	azim; azimojjosse; fؤپheإ،; sarإ،ؤپr; إ،eة،arf; tarsnؤپk<br><br>
tremolo	larzeإ،; tahrir<br><br>
tremor	larze; larzeإ،; ra'إ،e<br><br>
tremour	ra'إ،e<br><br>
tremulant	larzeإ،; tahrir; tarsؤپn<br><br>
tremulous	larzande; tarsؤپn<br><br>
trench	sangar; sanة،ar; xandaq<br><br>
trenchancy	borrandeة،i<br><br>
trend	gerؤپyeإ،; ة،erؤپyeإ،; ة،erؤپyeإ،i; ravand; tamؤپyol<br><br>
trend+A1168	tamؤپyol<br><br>
trepan	tamؤپyol dؤپإ،tan<br><br>
trepidation	ra'إ،e<br><br>
trespass	tajؤپvoz kardan; taxatti kardan<br><br>
trespasser	xؤپti<br><br>
trespassing	xؤپti<br><br>
tress	ة،isu; torre<br><br>
tressed	bؤپfteإ،ode<br><br>
tresses	ة،isovؤپn<br><br>
trestle	boإ،kei; sepؤپye<br><br>
trey-	seqesmati; setؤپyi<br><br>
triad	setؤپyi<br><br>
trial	ؤپzmؤپyeإ،; emtehؤپn; kuإ،eإ،; mehnat; mohؤپkeme<br><br>
trial jury	hey'atmonsefe<br><br>
trial period	dowre-ye ؤپzmؤپyeإ،i<br><br>
triangle	mosallas; seguإ،; seة،uإ،<br><br>
triangular	mosallasi; seguإ،; seة،uإ،; seguإ،e; seة،uإ،e<br><br>
triangulum	sesu<br><br>
tribal	ili; qabilei<br><br>
tribe	aإ،ire (aإ،ؤپyer); il; il (ilؤپt); qabile (qabؤپyel); qowm (aqvؤپm); tabؤپr; tؤپyefe; tؤپyefe (tavؤپyef)<br><br>
tribulation	mehnat; ranj<br><br>
tribunal	dؤپdgؤپh; divؤپn; mahkame<br><br>
tribune	miz-e xatؤپbe; teribun<br><br>
tributary	enإ،eؤپb; إ،ؤپxe; xarؤپjgozؤپr; xarؤپjة،ozؤپr<br><br>
tribute	bؤپj; ehterؤپm; gerؤپmidؤپإ،t; takrim; xarؤپj<br><br>
trick	hile; hoqqe; kalak; lem; neyranة،; إ،o'badebؤپzi; tarfand; xؤپr kardan<br><br>
trickery	hileة،ari; hoqqebؤپzi; neyranة،<br><br>
trickish	hileة،arؤپne<br><br>
trickle	cekؤپnidan; cekidan; cekidan (cek); cekke<br><br>
trickster	إ،ayyؤپd<br><br>
tricky	makkؤپr<br><br>
tricolor	seranة،<br><br>
tricolour	seranة،<br><br>
tricot	bؤپftani; teriko<br><br>
tricuspid	seة،uإ،<br><br>
tricycle	secarxe<br><br>
tricyclic	secarxe<br><br>
tridimensional	sebo'di<br><br>
tried	kuإ،ide<br><br>
trier	kuإ،ؤپ<br><br>
trifid	seإ،ؤپxe<br><br>
trifle	ciz-e joz'i; nؤپciz<br><br>
trifling	nؤپqؤپbel<br><br>
trifurcation	seإ،ؤپxe<br><br>
trig	az harekat bؤپz dؤپإ،tan; davidan; sarehؤپl; tarotamiz<br><br>
trigger	mؤپإ،e<br><br>
triggering	rؤپhandؤپzi; rahؤپsؤپzi<br><br>
triggering flooding	jؤپriإ،ode<br><br>
trigonometry	mosallasؤپt<br><br>
trigonous	calipؤپyi; mosallas<br><br>
trilateral	sejؤپnebe<br><br>
trill	jؤپri إ،odan; ravؤپn إ،odan<br><br>
trillion	terilyؤپrd; terilyun<br><br>
trilogy	seة،ؤپne<br><br>
trim	dorost kardan; pirؤپstan; sarإ،ؤپxe zadan; tarؤپإ،idan; tarotamiz; zinat dؤپdan<br><br>
trindle	qaltؤپndan<br><br>
trine	selؤپ<br><br>
trinkets	xorderiz<br><br>
trio	senafari; setؤپyi<br><br>
trip	gardeإ،; ة،ardeإ،; gardeإ، kardan; gardeإ،-e tafrihi; laqzeإ،; laqzeإ، xordan; mosؤپferat; sabok raftan; safar; safar kardan; sekandari xordan; siyؤپhat<br><br>
trip home	bؤپzgaإ،t b-e vatan<br><br>
tripartite	sejؤپnebe<br><br>
tripartition	seqesmati<br><br>
tripe	إ،ekambe; sirؤپbi<br><br>
triple	seة،ؤپm; seة،ؤپne; senafare<br><br>
triple bed	setaxte<br><br>
triplet	seة،ؤپne; seqolu; setؤپyi<br><br>
triplets	seqolu<br><br>
triplex	selؤپ; seqesmati; setؤپyi<br><br>
triploid	seqesmati<br><br>
tripod	sepؤپye<br><br>
tripods	sepؤپye<br><br>
triquetrous	seة،uإ،e<br><br>
triradiate	seإ،ؤپxe<br><br>
trite	mobtazal<br><br>
triturated	sؤپyide<br><br>
triumph	fath; fath-o zafar; jaإ،n-e piruzi; piruz إ،odan; piruzi; qؤپleb ؤپmadan<br><br>
triumphant	piruz; piruzmand; piruzmandi<br><br>
trivet	sepؤپye<br><br>
trivial	badihi; joz'i; piإ،epؤپoftؤپde; yozyi<br><br>
triviality	biahammiyati; nؤپcizi; piإ،epؤپoftؤپdeة،i<br><br>
troglodyte	vahإ،i<br><br>
troll	carxؤپndan; sorؤپyidan<br><br>
trolled	picؤپnande<br><br>
trolley	bؤپ vؤپgon-e barqi haml kardan; cؤپhؤپrcarxe; carxdasti; gؤپri-ye bؤپrkeإ،; otomobil-e bؤپrkeإ، kutؤپh; vؤپgon-e barqi<br><br>
trolleys	berؤپnkؤپrd<br><br>
trollop	jende; zan-e harze<br><br>
trolly	bؤپ vؤپgon-e barqi haml kardan; gؤپri-ye bؤپrkeإ،; otomobil-e bؤپrkeإ، kutؤپh; vؤپgon-e barqi<br><br>
troop	farؤپham kardan; gerd ؤپvardan; goruh<br><br>
troop carrier	xodrow<br><br>
troop transporter	nafarbar<br><br>
trooper	asbsavؤپri; nezؤپmi; sepؤپhi<br><br>
trope	esteؤپre<br><br>
trophy	neإ،ؤپn-e piruzi; qanimat; qanimat (qanؤپyem); yؤپyeze<br><br>
tropic	garmsir; ة،armsir; ة،armsiri<br><br>
tropical	garmsir; ة،armsir; ة،armsiri; hؤپrrei; ostovؤپyi<br><br>
tropics	manؤپteq-e ostovؤپyi<br><br>
tropologic	ة،armsiri; majؤپzi<br><br>
trot	yurtme<br><br>
troth	nؤپmzad; vafؤپ<br><br>
trothplight	nؤپmzad kardan<br><br>
trotter	pؤپce<br><br>
trouble	ؤپإ،oftan; azؤپb dؤپdan; ؤپzؤپr; ؤپzؤپr dؤپdan; dardesar; docؤپr kardan; ezؤپr; mozؤپhem إ،odan; mozؤپhemat; qeyd; ranje kardan; saxti; xؤپreإ،; zahmat; zahmat (zahamؤپt); zahmat dؤپdan<br><br>
trouble maker	dardesarsؤپz<br><br>
troubled	moإ،keldؤپr; tufؤپni<br><br>
troublemaker	mozؤپhem<br><br>
troubleshooting	moإ،kelة،oإ،ؤپ<br><br>
troublesome	mozؤپhem; mu-ye damؤپq; ranjؤپvar<br><br>
troubling	mozؤپhemat; negarؤپnkonande<br><br>
trough	ؤپbeإ،xor; taqؤپr<br><br>
trounce	saxt zadan<br><br>
trouser leg	pؤپce-ye إ،alvؤپr<br><br>
trousers	إ،alvؤپr; tonbؤپn<br><br>
trout	mؤپhi-ye qezelؤپlؤپ; qezelؤپlؤپ<br><br>
trove	ة،anjine; tohfe<br><br>
trow	tasavvor kardan<br><br>
trowel	mؤپle<br><br>
truancy	parsezani; vaqtة،ozarؤپni<br><br>
truck	bؤپrkeإ،; kؤپmiyon; mؤپإ،in-e bؤپri; moؤپmeleâ€Œ kardan; mobؤپdele; otomobil-e bؤپri<br><br>
trucker	rؤپnande-ye kؤپmiyon<br><br>
truckman	moؤپmeleة،ar<br><br>
truculence	xoإ،unat<br><br>
true	dorost; haqiqi; rؤپst; rؤپstة،u; rؤپstin; sؤپbet; sahih; vؤپqei<br><br>
true-hearted	pؤپkdel<br><br>
trueness	haqiqat (haqؤپyeq)<br><br>
truffle	qؤپrc-e donbalؤپn<br><br>
truly	bؤپإ،erؤپfat; bedorosti; berؤپsti; bexubi; haqiqatan; rؤپst; vؤپqean<br><br>
