Ісус	Иисус
улезьці	влезть; улезть
улесціць	польстить
улесьціць	см. улесціць
улетку	летом
уломак	слабак
уломванне	уламывание; пролом, обламывание
уломваньне	см. уломванне
уломліваць	уламывать; проламывать, обламывать
улонне	лоно, чрево
улоньне	см. улонне
улоў	улов
улоўліваць	улавливать
улоўны	улавливаемый
улоўнік	уловитель, улавливатель
улучаны	включенный
улучаць	включать
улучна	включительно
улучыцца	включиться
улучыць	включить; попасть в цель
улучэнне	включение; попадание
улучэньне	см. улучэнне
ультра	ультра
ультрагук	ультразвук
ультрагукавы	ультразвуковой
ультракароткахвалёвы	ультракоротковолновой
ультрамарын	ультрамарин
ультрамікраскапічны	ультрамикроскопический
ультраправы	ультраправый
ультрасучасны	ультрасовременный
ультрафіялетавы	ультрафиолетовый
ультыматум	ультиматум
ультыматыўны	ультимативный
улюбёнец	любимчик, любимец; фаворит; баловень
улюбёнка	любимица; фаворитка
улюбёны	излюбленный, любимый; любимец
улягацца	укладываться
уляпіцца	влепиться
улятаць	влетать; улетать
уляцець	влететь; улететь
улётка	листовка
уліванне	вливание
уліваньне	см. уліванне
улівацца	вливаться
уліваць	вливать
улік	учёт
уліпнуць	влипнуть
уліты	влитый; влитой
уліцца	влиться
уліць	влить
улічаны	учтённый; подсчитанный
улічвацца	учитываться; подсчитываться
улічваць	учитывать; подсчитывать
улічыць	учесть, принять во внимание
умазацца	вмазаться
умайстраваць	приладить, приделать
умакрэць	вспотеть, сильно намокнуть
умалаціць	смолотить, обмолотить
умалот	умолот, обмолот
умалочваць	умолачивать, обмолачивать
умантаваны	вмонтированный
умацаванне	укрепление, упрочение
умацаваны	укреплённый, упроченный
умацаваньне	см. умацаванне
умацаваць	укрепить, упрочить
умацоўвацца	укрепляться, усиливаться
умацоўваць	укреплять, усиливать
умелы	умелый
умельства	умелость
уменне	уменье
уменьне	см. уменне
умеркаваны	умеренный, см. умеркаваны клімат
умеркаваны клімат	умеренный климат
умець	уметь
умешвацца	вмешиваться
умлець	обомлеть, обмереть
умова	условие; согласие; соглашение, договор
умовіцца	условиться, уговориться, договориться
умольваць	умолять
умольна	умоляюще
умольны	умоляющий
умомант	вмиг
умоўнарэфлекторны	условнорефлекторный
умоўнасць	условность
умоўнасьць	см. умоўнасць
умоўны	условный
умоўчаць	умолчать, промолчать, смолчать
умудрацца	умудряться
умудрыцца	умудриться
умураваны	вмурованный
умураваць	вмуровать
умуравець	зарасти муравой
умуроўваць	вмуровывать
умуроўка	пристройка, вмазка, вделка
умывальнік	умывальник
умыванне	умывание
умываньне	см. умыванне
умывацца	умываться
умярзаць	вмерзать
умярцвенне	омертвление; умерщвление
умярцьвеньне	см. умярцвенне
умяшанне	вмешательство
умяшаньне	см. умяшанне
умяшацца	вмешаться
умяшчальнасць	вместимость
умяшчальнасьць	см. умяшчальнасць
уміг	мигом, мгновенно
умінаць	уминать
уміратварыцца	умиротвориться
уміратварыць	умиротворить
унадзіцца	повадиться
унакладку	внакладку
унаравіць	угодить
унармаванне	нормирование, нормировка
унармаваньне	см. унармаванне
унармаваць	нормировать
уначы	ночью
унаём	внаём
унебаўзяцце	восшествие
унесмяроціць	обессмертить
унесці	внести; унести
унесьці	см. унесці
уносіцца	вноситься; уноситься
уносіць	вносить; уносить
уночы	ночью
унтэр-афіцэр	унтер-офицер
унук	внук
унурыцца	уставиться; понуриться
унурыць	уставить, уткнуть; понурить, опустить
унутраны	внутренний
унутры	внутри
унутрывенны	внутривенный
унутрыгарадзкі	см. унутрыгарадскі
унутрыгарадскі	внутригородской
унутрыкультурны	внутрикультурный
унутрыцэхавы	внутрицеховой
унучак	внучек
унучка	внучка
унцыя	унция
унюхаць	унюхать, почуять
унясенне	внесение
унясеньне	см. унясенне
унёсак	вклад
універмаг	универмаг, универсальный магазин
універсал	универсал
універсальнасць	универсальность
універсальны	универсальный
універсалізм	универсализм
універсалісцкі	универсалистский
універсам	универсам
універсум	универсум
універсітэт	университет
універсітэцкі	университетский
унівэрмаг	см. універмаг
унівэрсал	см. універсал
унівэрсальнасьць	см. універсальнасць
унівэрсальны	см. універсальны
унівэрсалізм	см. універсалізм
унівэрсалісцкі	см. універсалісцкі
унівэрсам	см. універсам
унівэрсум	см. універсум
унівэрсытэт	см. універсітэт
унівэрсытэцкі	см. універсітэцкі
уніжліва	униженно, с унижением
уніз	вниз
унізе	внизу
унійны	свойственный унии, союзный
унікальнасць	уникальность
унікальнасьць	см. унікальнасць
унікальны	уникальный, вникающий; проникающий; избегающий, сторонящийся, чуждый
унікаць	избегать, уклоняться; сторониться, чуждаться; вникать
уніклівы	уклончивый; пытливый, внимательный
унікнуць	избежать, избегнуть, уклониться
унікум	уникум
унісон	унисон
унітаз	унитаз
унітарны	унитарный
унітарызм	унитаризм
уніфармізаваць	униформизировать
уніфармізацыя	униформизация
уніформа	униформа
уніфікаваны	унифицированный
уніфікавацца	унифицироваться
уніфікаваць	унифицировать
уніфікацыя	унификация
унічыю	вничью
унія	уния, союз
уніят	униат
уніяцкі	униатский
уніяцтва	униатство
упадабаны	понравившийся, любимый
упадабаць	понравиться, полюбить
упадак	упадок
упадаць	падать; впадать; убывать; ухаживать
упадніцкі	упаднический
упадніцтва	упадничество
упакаваць	упаковать
упакоўка	упаковка
упаляваць	добыть во время охоты
упаліць	разжечь
упампаваць	вкачать, закачать
упарадкаванасць	упорядоченность, благоустроенность
упарадкаванасьць	см. упарадкаванасць
упарадкаванне	упорядочение, благоустройство
упарадкаваны	упорядоченный, благоустроенный
упарадкаваньне	см. упарадкаванне
упарадкаваць	упорядочить, привести в порядок, наладить, благоустроить
упароць	уколоть, ткнуть
упарта	упорно, настойчиво; упрямо, строптиво
упартасць	упорство, настойчивость; упрямство, строптивость
упартасьць	см. упартасць
упарты	упорный, настойчивый; упрямый, строптивый; упрямец
упару	впору, вовремя
упарціцца	упорствовать, настаивать; упрямиться, упираться
упасвіць	смочь пасти, откормить, уберечь
упасці	упасть
упасьці	см. упасці
упачатку	вначале
упаўголасу	вполголоса
упаўзаць	вползать; уползать
упаўнаважаны	уполномоченный
упаўнаважыць	уполномочить
упаўсілы	вполсилы
уперавалку	вразвалку
уперавес	наперевес
уперад	вперёд
уперадзе	впереди
уперамешку	вперемешку
уперціся	упереться; заупрямиться
уперша	впервые
упершыню	впервые
уперыцца	уставиться
уплата	уплата
уплаціць	уплатить
уплаў	вплавь
уплесці	вплести; уплести
уплесьці	см. уплесці
уплецены	вплетённый; уплетённый
уплываць	влиять; уплывать
уплывовы	влиятельный
уплыў	влияние
уплюхаць	забрызгать
уплюхнуць	вплеснуть
уплятаць	вплетать; уплетать
уплішчыцца	протиснуться, просунуться
уплішчыць	протиснуть, просунуть
упокат	вповалку
упоперак	поперёк
упор	упор
упорацца	справиться
упору	впору
употай	тайком, украдкой
упоцемку	впотьмах, в потёмках
управа	управление, вправо
управіцца	управиться
упрагацца	впрягаться
упражыць	ужарить, прожарить, прокалить
упрасіць	упросить
упраўленне	управление
упраўленьне	см. упраўленне
упраўляць	управлять
упраўны	расторопный, ловкий
упрочкі	прочь
упрошваць	упрашивать
упрывілеяванасць	привилегированность
упрывілеяванасьць	см. упрывілеяванасць
упрывілеяваны	привилегированный
упрыгажэнне	украшение
упрыгожанне	украшение
упрыгожаны	украшенный; нарядный
упрыгожаньне	см. упрыгожанне
упрыгожванне	украшение
упрыгожваньне	см. упрыгожванне
упрыгожваць	украшать; наряжать
упрыгожыцца	украситься; нарядиться
упрыгожыць	украсить; нарядить
упрыкуску	вприкуску
упрысядкі	вприсядку
упрытык	впритык
упрыцірку	впритирку
упрэгчы	впрячь
упускаць	впускать; упускать
упустую	впустую
упусціць	впустить; упустить
упусьціць	см. упусціць
упынак	остановка, перерыв
упыніць	унять, успокоить; уладить
упэцканы	выпачканный, вымаранный, вымазанный
упэцкацца	выпачкаться, вымараться, вымазаться
упэцкаць	выпачкать, вымарать, вымазать
упэўнена	уверенно
упэўненасць	уверенность
упэўненасьць	см. упэўненасць
упэўненне	уверение, заверение
упэўнены	уверенный
упэўненьне	см. упэўненне
упэўнівацца	уверяться, убеждаться, удостоверяться
упэўніцца	увериться, убедиться
упэўніць	уверить, убедить
упярэмежку	вперемежку
упярэмешку	вперемешку
упяцярых	впятером
упяцёх	впятером
упёрты	упёртый; упрямый
упівацца	впиваться; упиваться
упікаць	упрекать
упікнуць	упрекнуть, укорить
упільнаваць	укараулить, устеречь, уследить, проследить
упірацца	упираться
упісанне	вписка
упісаны	вписанный
упісаньне	см. упісанне
упісацца	вписаться
упісвацца	вписываться
упісваць	вписывать
упіхваць	впихивать
упіхнуць	впихнуть
упіцца	впиться; упиться
ура	ура
урабляць	ввязывать; пачкать, вделывать; ввязывать; пачкать
урабіць	выпачкать, измазать, обработать, возделать, вделать
ураган	ураган
ураганны	ураганный
урад	правительство
урадавы	правительственный
ураджай	урожай
ураджайнасць	урожайность
ураджайнасьць	см. ураджайнасць
ураджэнец	уроженец
урадзіць	уродить
урадлівасць	урожайность; плодовитость
урадлівасьць	см. урадлівасць
урадлівы	урожайный; плодородный
уражанне	впечатление
уражаны	впечатлённый
уражаньне	см. уражанне
уражвацца	удивляться, поражаться
уражваць	впечатлять
уражлівасць	впечатлительность
уражлівасьць	см. уражлівасць
уражлівы	впечатлительный
ураз	враз
уразброд	вразброд
уразбіўку	вразбивку
ураздроб	в розницу
уразлівы	чувствительный; уязвимый
уразнастайвацца	разнообразить
уразрэз	вразрез
уразумець	уразуметь, понять
уразьбіўку	см. уразбіўку
уразіцца	удивиться, взволноваться
уразіць	впечатлить, поразить, взволновать, потрясти; оскорбить, задеть
урал	Урал
уран	уран
уранавы	урановый
уранку	утром, поутру
уранні	утром
ураньні	см. уранні
ураніць	уронить
урассыпную	врассыпную
урастанне	врастание
урастаньне	см. урастанне
урастаць	врастать
урасцяжку	врастяжку
урасці	врасти
урасьцяжку	см. урасцяжку
урасьці	см. урасці
уратаванне	спасение; сохранение
уратаваны	спасённый, убережённый
уратаваньне	см. уратаванне
уратавацца	спастись; уберечься
уратаваць	спасти, уберечь
уратоўвацца	спасаться; беречься
уратоўваць	спасать; беречь
уратрапін	уротропин
урач	врач
урачы	сглазить
урачыста	торжественно; празднично
урачыстасць	торжество; празднество
урачыстасьць	см. урачыстасць
урачысты	торжественный; праздничный
урачэбны	врачебный
ураўнаважанасць	уравновешенность
ураўнаважанасьць	см. ураўнаважанасць
ураўнаважанне	уравновешение
ураўнаважаньне	см. ураўнаважанне
ураўнаважвацца	уравновешиваться
ураўнаважваць	уравновешивать
ураўнаважыць	уравновесить
ураўненне	уравнение
ураўненьне	см. ураўненне
ураўноўваць	уравнивать
ураўняльніцкі	уравнительский
ураўняць	уровнять
ураўнілаўка	уравниловка
урбанізаваны	урбанизированный
урбанізацыя	урбанизация
урбанізм	урбанизм
урбаніст	урбанист
урбаністыка	урбанистика
урбаністычны	урбанистический
урваны	урванный
урваць	урвать
урвіцель	рвач, хапуга; сорвиголова, озорник; головорез
урман	урман
уроблены	ввязанный; испачканный, вделанный
урода	природа, натура, характер
уроджаны	урождённый
урок	урок
уролаг	уролог
уроляг	см. уролаг
уроскідку	вразброс
уроссып	врассыпную
урочышча	урочище
урубіцца	врубиться
урук	урюк
урукапашную	врукопашную
уручаны	вручённый
уручацца	вручаться
уручаць	вручать
уручную	вручную
уручыць	вручить
уручэнне	вручение
уручэньне	см. уручэнне
урывак	отрывок
урыўкава	отрывисто
урэгуляванне	урегулирование; регулировка
урэгуляваны	урегулированный; отрегулированный
урэгуляваньне	см. урэгуляванне
урэгуляваць	урегулировать; отрегулировать
урэзак	отрезок
урэзацца	врезаться; урезаться
урэзаць	врезать; урезать
урэзвацца	врезаться; урезаться
урэчнік	рдест
урэшце	наконец, в конце концов
усаджаны	усаженный; обсаженный
усаджвацца	усаживаться; обсаживаться
усадзіць	усадить; обсадить
усадка	усадка
усачыць	уследить
усватаць	сосватать
усведамленне	осознание, уяснение, понимание
усведамлены	осознанный, уяснённый, понятый
усведамляць	осознавать, уяснять, понимать
усведаміць	осознать, уяснить, понять
усвядомлены	осознанный, уяснённый, понятый
усвядоміць	осознать, уяснить, понять
усе	все
усеагульны	всеобщий
усебакова	всесторонне
усебаковы	всесторонний
усебеларускі	всебелорусский
уседзець	усидеть
уседлівасць	усидчивость
уседлівасьць	см. уседлівасць
уседлівы	усидчивый
усемярых	всемером
усенародны	всенародный
усерасейскі	всероссийский
усердаваць	усердствовать
усесаюзны	всесоюзный
усеславянскі	всеславянский
усесціся	усесться
усесьціся	см. усесціся
усечаны	усечённый
усечка	обрубка, подрубка
усеяны	усеянный
усеяць	усеять
усеўкраінскі	всеукраинский
усеўладдзе	всевластие
усеўладзьдзе	см. усеўладдзе
ускаламуціцца	взмутиться, взбаламутиться
ускаламуціць	взмутить, взбаламутить
ускалмаціць	взлохматить, взъерошить
ускалмачаны	взлохмаченный, взъерошенный
ускалупіць	подковырнуть
ускалыхнуць	взмутить, взбаламутить
ускапаны	вскопанный
ускапаць	вскопать
ускараскацца	вскарабкаться
ускарміць	вскормить
ускатурхаць	растормошить, растолкать
ускварыць	ужарить
ускладанне	возложение
ускладаньне	см. ускладанне
ускладацца	возлагаться
ускладаць	возлагать
ускладвацца	возлагаться
ускладзены	возложенный
ускладненне	усложнение, осложнение
ускладненьне	см. ускладненне
ускладняцца	усложняться, осложняться
ускладняць	усложнять, осложнять
ускладнёны	усложнённый, осложнённый
ускладніцца	усложниться, осложниться
ускладніць	усложнить, осложнить
ускласці	возложить, положить
ускласьці	см. ускласці
усклік	восклицание
усклікваць	восклицать
усклікнуць	воскликнуть
ускокваць	вскакивать
ускорасці	вскоре, вскорости
ускормлены	вскормленный
ускосна	косвенно
ускосны	косвенный
ускочыць	вскочить
ускраек	край
ускрай	возле, подле
ускраіна	окраина
ускраінны	окраинный
ускруціцца	подняться
ускрывацца	вскрываться
ускрываць	вскрывать
ускрык	вскрик
ускрыкваць	вскрикивать
ускрыкнуць	вскрикнуть
ускрыты	вскрытый
ускрыццё	вскрытие
ускрыць	вскрыть
ускрыцьцё	см. ускрыццё
ускубнуць	дёрнуть, рвануть; выдернуть, выщипнуть
ускудлаціць	взлохматить, взъерошить
ускудлачаны	взлохмаченный, взъерошенный
ускідаць	взбросить, вскинуть
ускідваць	вкидывать
ускінуты	вскинутый
ускінуцца	вскинуться
ускінуць	вскинуть
ускіпець	вскипеть
уславіць	восславить, прославить
услаўленне	прославление
услаўлены	прославленный, восславленный
услаўленьне	см. услаўленне
услед	вслед
услон	скамейка, скамья
услончык	скамейка
услугоўваць	услуживать
услужлівы	услужливый
услухацца	вслушаться
услухоўванне	вслушивание
услухоўваньне	см. услухоўванне
услухоўвацца	вслушиваться
услых	вслух
усляпую	вслепую
усмагнуць	изныть, истомиться
усмажыць	ужарить, прожарить
усмак	всласть
усмакаваць	прийтись по вкусу
усмактаць	всосать, впитать
усмал	смолистый чурбан, обрубок
усмаліць	хлестнуть, ожечь
усмешачка	улыбочка; усмешка
усмешка	улыбка; усмешка
усмешлівы	улыбчивый; насмешливый
усмоктванне	всасывание
усмоктваньне	см. усмоктванне
усмоктваць	всасывать
усмяглы	томленый
усмятку	всмятку
усміхацца	улыбаться; усмехаться
усміхнуцца	улыбнуться; усмехнуться
усохлы	усохший
успадкаваны	унаследованный
успамога	помощь
успамянуты	вспомненный, припомненный; упомянутый
успамянуць	вспомнить, припомнить; упомянуть
успамін	воспоминание
успамінак	воспоминание
успамінацца	вспоминаться
успамінаць	вспоминать
успароць	вспороть
успасці	напасть; прийти в голову
успасьці	см. успасці
успацца	крепко заснуть
успаўзьці	вползти; уползти
успенне	успение; кончина, смерть, преставленье
успенскі	успенский
успеніцца	вспениться
усперці	взвалить, напялить, опереть, облокотить, встащить, втащить
усперціся	опереться, облокотиться, взобраться, рано встать, напороться
усплываць	вплывать; уплывать; влиять
усплысці	вплыть; уплыть; повлиять
усплысьці	см. усплысці
усплёск	всплеск
успомніць	вспомнить, припомнить
усправядлівіць	подтвердить
успрымальнасць	восприимчивость
успрымальнасьць	см. успрымальнасць
успрыманне	восприятие
успрыманьне	см. успрыманне
успрымацца	восприниматься
успрымаць	воспринимать
успрыняты	воспринятый
успрыняцце	восприятие
успрыняць	воспринять
успрыняцьце	см. успрыняцце
успуджаны	вспугнутый
успудзіць	вспугнуть
успухаць	вспухать
успушваць	вздувать, вспучивать
успушыць	вздуть, вспучить
успыхваць	вспыхивать
успыхнуць	вспыхнуть
успышка	вспышка
уссядаць	восседать
устава	закон
уставанне	вставание
уставаньне	см. уставанне
уставаць	вставать
уставіць	вставить; уставить
усталяванне	установка
усталяваны	установленный
усталяваньне	см. усталяванне
усталявацца	установиться
усталяваць	установить; устроить, укрепить, утвердить, упрочить
усталёўвацца	устанавливаться
усталёўваць	устанавливать
устанавіць	установить
устанаўленне	установление
устанаўленьне	см. устанаўленне
устанаўліваць	устанавливание, установка
установа	учреждение, заведение
установачны	установочный
устаноўка	установка
устаноўлены	установленный
устаноўчы	учредительный
устапырыць	встопорщить, взъерошить, ощетинить
устаць	встать
усташ	усташ
устаяцца	устояться
устаяць	устоять
устаўка	вставка
устаўлены	вставленный; уставленный
устаўляць	вставлять; уставлять
устаўны	вставной
устойлівасць	устойчивость; постоянство
устойлівасьць	см. устойлівасць
устойлівы	устойчивый; постоянный
уструс	встряска
устрывожаны	встревоженный
устрывожыцца	встревожиться
устрыманасць	воздержанность
устрыманасьць	см. устрыманасць
устрымацца	воздержаться
устрымлівацца	воздерживаться
уступ	вступление, введение; уступ
уступацца	вступаться
уступаць	вступать; уступать
уступка	уступка
уступленне	вступление, введение; уступка
уступленьне	см. уступленне
уступны	вступительный
уступіцца	вступиться
уступіць	вступить; уступить
устурбавацца	встревожиться, обеспокоиться, взволноваться
устурбаваць	встревожить, обеспокоить, взволновать
устыць	застыть
усунуць	уснуть
усур&apos;ёз	всерьёз
усутыч	вплотную, вплоть
усухамятку	всухомятку
усухую	всухую
усушыць	усушить, высушить, иссушить
усхадзіцца	подняться, разбушеваться, разойтись, расшалиться, расшуметься
усхапіцца	спохватиться; вскочить, подняться
усхваленне	восхваление
усхваленьне	см. усхваленне
усхваляваны	взволнованный, возбуждённый
усхваляваць	взволновать, возбудить
усхваляць	восхвалять; хвалить
усхліп	всхлип
усхліпнуць	всхлипнуть
усход	восток; восход; подъём
усходазнавец	востоковед
усходазнаўства	востоковедение
усходжасць	всхожесть
усходжасьць	см. усходжасць
усходжы	всхожий
усходзіць	всходить
усходкі	лесенка
усходнебеларускі	восточнобелорусский
усходнеберлінскі	восточноберлинский
усходнебэрлінскі	см. усходнеберлінскі
усходнееўрапейскі	восточноевропейский
усходнеславянскі	восточнославянский
усходнеэўрапейскі	см. усходнееўрапейскі
усходні	восточный
усходнік	восточник
усходы	лестница, ступени, ступеньки
усхоплівацца	спохватываться; вскакивать, подниматься
усцелены	устеленный, постеленный
усцеха	утеха, радость
усцешаны	утешенный, обрадованный
усцешыцца	утешиться, обрадоваться
усцешыць	утешить, обрадовать
усцягнуць	втащить, встащить; натянуть, напялить
усцяж	повсеместно, вдоль, везде
усчапіцца	нацепиться, повеситься
усчапіць	нацепить, повесить, навесить
усчаты	возникший; начатый, затеянный; зачатый
усчацца	возникнуть; начаться, затеяться; зачаться
усчаць	начать, затеять; поднять; зачать
усчынацца	начинаться, затеиваться; подниматься; зачинаться
усчынаць	начинать, затевать; поднимать; зачинать
усшэсце	вознесение
усшэсьце	см. усшэсце
усынавіць	усыновить
усыпаны	усыпанный
усыпаць	усыпать
усыпляльны	усыпляющий
усьведамлены	см. усведамлены
усьведамленьне	см. усведамленне
усьведамляць	см. усведамляць
усьведаміць	см. усведаміць
усьвядомлены	см. усвядомлены
усьвядоміць	см. усвядоміць
усьлед	см. услед
усьляпую	см. усляпую
усьмешачка	см. усмешачка
усьмешка	см. усмешка
усьмешлівы	см. усмешлівы
усьмяглы	см. усмяглы
усьмятку	см. усмятку
усьміхацца	см. усміхацца
усьміхнуцца	см. усміхнуцца
усьпенскі	см. успенскі
усьпеньне	см. успенне
усьпеніцца	см. успеніцца
усьперці	см. усперці
усьперціся	см. усперціся
усьсядаць	см. уссядаць
усьцелены	см. усцелены
усьцеха	см. усцеха
усьцешаны	см. усцешаны
усьцешыцца	см. усцешыцца
усьцешыць	см. усцешыць
усьцягнуць	см. усцягнуць
усьцяж	см. усцяж
усюды	везде, всюду, повсюду, повсеместно
усюдыіснасць	повсеместность
усюдыіснасьць	см. усюдыіснасць
усюдыісны	повсеместный
уся	вся
усявышні	всевышний
усяк	всяко, всячески, по-всякому, по-разному
усякі	всякий, всяк
усяляк	всяко, всячески, по-всякому, по-разному
усялякі	всякий, различный, всевозможный, разнообразный
усяляцца	вселяться
усяліцца	вселиться
усямёх	всемером
усяночны	всенощный
усярэдзіне	посредине
усясветны	всемирный
усясьветны	см. усясветны
усё	всё
усё-ткі	всё-таки
усёабдымнасць	всеобъемлемость
усёабдымнасьць	см. усёабдымнасць
усёабдымны	всеобъемлющий
усёведны	всёзнающий
усёвідушчы	всёвидящий
усёдазволенасць	вседозволенность
усёдазволенасьць	см. усёдазволенасць
усёдараванне	всепрощение
усёдараваньне	см. усёдараванне
усёедны	всеядный
усёзнайка	всезнайка
усёмагутнасць	всемогущество, всесилие
усёмагутнасьць	см. усёмагутнасць
усёмагутны	всемогущий, всесильный
усёпаглынальны	всёпоглощающий
усёпераможны	всепобеждающий
усіхны	всех, каждого
утаймавальнік	укротитель
утаймаванне	укрощение; обуздание, смирение, умиротворение
утаймаваны	укрощённый; обузданный, смирённый, утихомиренный
утаймаваньне	см. утаймаванне
утаймаваць	укротить, обуздать, смирить, утихомирить
утаймоўвацца	укротиться, смириться, утихомириться
утаймоўваць	укрощать, обуздывать, смирять, утихомиривать
утапізм	утопизм
утапіст	утопист
утапіцца	утопиться
утапічны	утопичный, утопический
утаргаваць	сторговать; выторговать
утароплены	вперенный, уставленный
утаропліваць	вперять, уставляться
утаропіцца	впериться, уставиться
утаропіць	вперить, уставить
утаіцца	утаиться, притаиться
утваральны	образующий, созидательный
утварацца	образовываться, создаваться
утвараць	образовывать, создавать
утварыцца	образоваться, создаться
утварыць	образовать, создать
утварэнне	образование, создание
утварэньне	см. утварэнне
утвораны	образованный, созданный
уткнуцца	уткнуться
уткнуць	уткнуть
утлумачыць	втолковать
утоены	утаённый
утойваць	утаивать
уток	уток
утома	усталость, утомление
утоптваць	утаптывать
утопія	утопия
уторкнуць	воткнуть
уточка	втачка, вставка, вшивка
утоўшч	в толщину
утравелы	травянистый, поросший травой
утравець	зарасти травой
утрайне	втройне
утрапенец	одержимый, безумный, неистовый, сумасшедший
утрапёнасць	одержимость, безумие, неистовство, сумасшествие
утрапёнасьць	см. утрапёнасць
утрапёны	одержимый, безумный, неистовый, сумасшедший
утрая	втрое
утраіх	втроём
утрох	втроём
утрываць	утерпеть, удержаться
утрыманец	иждивенец
утрыманне	удержание; содержание
утрыманскі	иждивенческий
утрыманьне	см. утрыманне
утрымацца	удержаться; прокормиться
утрымаць	удержать; прокормить
утрымваць	удерживать; содержать
утрымліваць	удерживать; содержать
утрымоўваць	удерживать, сдерживать
утрыраваць	утрировать
утульваць	прятать, утыкать, втягивать
утульна	уютно
утульнасць	уют, уютность
утульнасьць	см. утульнасць
утульны	уютный
утуліцца	спрятаться, уткнуться, втянуться
утуліць	спрятать, уткнуть, втянуть
утушаны	утушенный; потушенный
утушыць	утушить; потушить
утыкаць	утыкать; втыкать
утыкнуцца	уткнуться
утыль	утиль
утыльсыравіна	утиль-сырьё
утылізацыйны	утилизационный
утылізацыя	утилизация
утылітарнасць	утилитарность
утылітарнасьць	см. утылітарнасць
утылітарны	утилитарный
утылітарызм	утилитаризм
утылітарысцкі	утилитаристский
утыркацца	втыкаться
утыркаць	втыкать
утыркнуць	воткнуть
уфармавацца	сформироваться; сформоваться, отформоваться
ухаваць	сохранить, уберечь, скрыть, укрыть
ухадзіцца	управиться
ухаластую	вхолостую
ухапіцца	ухватиться
ухапіць	ухватить
ухвала	одобрение; утверждение
ухвалены	одобренный; утверждённый
ухвальны	одобрительный; утвердительный
ухваляцца	одобряться; утверждаться
ухваляць	одобрять; утверждать
ухваліць	одобрить; утвердить
ухмылка	ухмылка
ухмыльнуцца	ухмыльнуться
ухмыляцца	ухмыляться
ухутваць	укутывать
ухіл	уклон
ухіляцца	уклоняться, уворачиваться; отклоняться; удаляться, устраняться
ухіляць	уклонять, наклонять, отклонять
ухілізм	уклонизм
ухілісты	уклончивый
ухілісцкі	уклонистский
ухіліцца	уклониться, увернуться; отклониться; удалиться, устраниться
ухіліць	уклонить, наклонить, отклонить
уцалець	уцелеть
уцелавіць	воплотить
уцелаўленне	воплощение
уцелаўленьне	см. уцелаўленне
уцерціся	втереться; утереться
уцеха	утеха, забава, развлечение; радость, отрада; утешение
уцягванне	втягивание
уцягваньне	см. уцягванне
уцягвацца	втягиваться
уцягваць	втягивать
уцягненне	втяжка
уцягненьне	см. уцягненне
уцягнуты	втянутый
уцягнуцца	втянуться
уцягнуць	втянуть
уцяжарыць	утяжелить
уцякаць	убегать, удирать; уходить; совершать побег, бежать
уцякач	беглец
уцякачка	беглянка
уцялеснены	воплощенный
уцямна	внятно, понятно
уцямны	внятный, понятный
уцяміць	понять, уразуметь, сообразить, смекнуть
уцяпленне	утепление
уцяпленьне	см. уцяпленне
уцяпляльнік	утеплитель
уцяпляць	утеплять
уцяць	усечь, обрубить
уцячы	убежать, бежать
уцёкі	бегство, побег
уцёс	утёс
уцінак	обрубок
уціск	притеснение, гнёт; преследование
уцісканы	притесняемый, угнетаемый; преследуемый
